Text,True Label,Predicted Label
"IBM to hire even more new workers - By the end of the year, the computing giant plans to have its biggest headcount since 1991.",Sci/Tech,Business
"Some People Not Eligible to Get in on Google IPO - Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",Sci/Tech,Business
Venezuela Prepares for Chavez Recall Vote - Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,World,Business
Live: Olympics day four - Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.,World,Sports
"Intel to delay product aimed for high-definition TVs - SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays.",Business,Sci/Tech
Yahoo! Ups Ante for Small Businesses - Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...,Business,Sci/Tech
"IBM Buys Two Danish Services Firms - IBM said Tuesday it has acquired a pair of Danish IT services firms as part of its effort to broaden its presence in Scandinavia. As a result of the moves, IBM will add about 3,700 IT staffers to its global head count. Financial terms of ...",Sci/Tech,Business
"Oil prices bubble to record high - The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record \$US46.75 a barrel - up 70 cents on yesterday #39;s close. ",World,Business
"Bush Promotes His Plan for Missile Defense System - President Bush, in Pennsylvania, said that opponents of a missile defense system were putting the nation's security at risk.",World,Sci/Tech
"Greek sprinters arrive at IOC hearing - ATHENS (Reuters) - Greek sprinters Costas Kenteris and Katerina Thanou have arrived at an Athens hotel for an International Olympic Committee (IOC) hearing into their missed doped tests, a saga that has shamed and angered the Olympic host ...",Sports,World
"Stunt pilots to save sun dust - IT PROMISES to be a scene worthy of a science fiction spectacular. A space probe carrying primordial material scooped from outer space starts to plunge towards our planet. But before it can strike, a helicopter flown by a Hollywood stunt ...",Sci/Tech,World
"Intuit Posts Wider Loss After Charge (Reuters) - Reuters - Intuit Inc. (INTU.O), maker of\the No. 1 U.S. tax presentation software TurboTax, on Wednesday\posted a wider quarterly loss after taking a goodwill\impairment charge during its seasonally weaker fourth quarter.",Sci/Tech,Business
